handle,video_id,title,published_at,live_broadcast_content,actual_start_time,actual_end_time,scheduled_start_time,duration_hours,view_count,like_count,comment_count
@MizumiyaSu,Q5fbVHz7khs,【ゴブリン・ノーム・ホーン】お仕事する！！ついでに魔王倒す！！【水宮枢／ホロライブDEV_IS】,2025-08-19T13:17:03Z,none,2025-08-19T13:01:11Z,2025-08-19T13:11:28Z,2025-08-19T13:00:00Z,0.17,15976,2306,260
@MizumiyaSu,Uyw5uUy2iQA,【龍が如く極】11章〜 失って背負って強くなる シリーズ完全初見！ :配信内容にネタバレ含みます#3【水宮枢／ホロライブDEV_IS】,2025-08-18T17:59:36Z,none,2025-08-18T13:00:15Z,2025-08-18T17:44:58Z,2025-08-18T13:00:00Z,4.75,68049,4497,157
@NekomataOkayu,3orF2kRC2L4,【 メトロイドプライム リマスタード 】はじめてのプライムシリーズに挑戦！#02【 猫又おかゆ/ホロライブ 】,2025-08-23T20:05:27Z,none,2025-08-23T13:01:24Z,2025-08-23T19:43:58Z,2025-08-23T13:00:00Z,6.71,145176,8038,53
@NekomataOkayu,0CPBENAQF_k,【 DAY11 | #ホロ7DTDハード 】雪男の影響で石だらけ🪨🪨🪨【 猫又おかゆ視点/ホロライブ 】,2025-08-22T16:42:03Z,none,2025-08-22T13:01:44Z,2025-08-22T16:29:11Z,2025-08-22T13:00:00Z,3.46,118997,6743,63
@NekomataOkayu,vscWAeHQV2Q,【 DAY10 | #ホロ7DTDハード 】はじめての雪山へお引越しだあ⛄✦【 猫又おかゆ視点/ホロライブ 】,2025-08-20T15:57:06Z,none,2025-08-20T13:00:58Z,2025-08-20T15:39:39Z,2025-08-20T13:00:00Z,2.64,115275,6482,60
@NekomataOkayu,qfPtSRBS68U,【3D配信 】 夏だ！海だ！Nintendo Switch Sportsだ！【 #スバおか /ホロライブ 】,2025-08-20T11:12:19Z,none,2025-08-20T10:00:11Z,2025-08-20T11:05:05Z,2025-08-20T10:00:00Z,1.08,244719,14484,116
@NekomataOkayu,vuQSCV9KD3s,【 #突発ホロAmongUs 】突発も突発の突発でIKzzzzzz【 猫又おかゆ/ホロライブ 】,2025-08-19T14:48:54Z,none,2025-08-19T13:45:30Z,2025-08-19T14:44:17Z,2025-08-19T13:45:00Z,0.98,79508,5587,63
@NekomataOkayu,Ktd7zS3E-tM,【 メトロイドプライム リマスタード 】はじめてのプライムシリーズに挑戦！#01【 猫又おかゆ/ホロライブ 】,2025-08-18T18:23:06Z,none,2025-08-18T13:00:12Z,2025-08-18T18:06:25Z,2025-08-18T13:00:00Z,5.1,190599,9256,85
@NekomataOkayu,4nqri8spoo8,【 ASMR 】お疲れの君が癒されながら涼しくなれる場所✦ 【 猫又おかゆ/ホロライブ 】,2025-08-17T14:13:29Z,none,2025-08-17T13:00:59Z,2025-08-17T14:01:40Z,2025-08-17T13:00:00Z,1.01,255881,19131,277
@NinomaeInanis,ru_rnXXm5gI,【Storyteller】Let Me Tell You A Story About A Storyteller Who Told Stories About Telling Stories,2025-08-20T02:54:42Z,none,2025-08-20T00:02:37Z,2025-08-20T02:45:46Z,2025-08-20T00:00:00Z,2.72,58470,8298,60
